sale_id,customer_id,product_id,branch_id,date_id,quantity,total_amount
1,1,101,1,1,1,65000
2,2,102,2,2,2,56000
3,3,103,3,3,3,135000
4,4,104,4,4,4,72000
5,5,105,5,5,5,110000
6,6,106,6,6,1,1800
7,7,107,7,7,2,1800
8,8,108,8,8,3,10500
9,9,109,9,9,4,22000
10,10,110,10,10,5,21000
11,11,111,1,11,1,15000
12,12,112,2,12,2,24000
13,13,113,3,13,3,144000
14,14,114,4,14,4,12800
15,15,115,5,15,5,62500
16,16,116,6,16,1,9500
17,17,117,7,17,2,13000
18,18,118,8,18,3,3600
19,19,119,9,19,4,7200
20,20,120,10,20,5,12500
21,1,101,1,21,1,65000
22,2,102,2,22,2,56000
23,3,103,3,23,3,135000
24,4,104,4,24,4,72000
25,5,105,5,25,5,110000
26,6,106,6,26,1,1800
27,7,107,7,27,2,1800
28,8,108,8,28,3,10500
29,9,109,9,29,4,22000
30,10,110,10,30,5,21000
31,11,111,1,31,1,15000
32,12,112,2,1,2,24000
33,13,113,3,2,3,144000
34,14,114,4,3,4,12800
35,15,115,5,4,5,62500
36,16,116,6,5,1,9500
37,17,117,7,6,2,13000
38,18,118,8,7,3,3600
39,19,119,9,8,4,7200
40,20,120,10,9,5,12500
41,1,101,1,10,1,65000
42,2,102,2,11,2,56000
43,3,103,3,12,3,135000
44,4,104,4,13,4,72000
45,5,105,5,14,5,110000
46,6,106,6,15,1,1800
47,7,107,7,16,2,1800
48,8,108,8,17,3,10500
49,9,109,9,18,4,22000
50,10,110,10,19,5,21000
51,11,111,1,20,1,15000
52,12,112,2,21,2,24000
53,13,113,3,22,3,144000
54,14,114,4,23,4,12800
55,15,115,5,24,5,62500
56,16,116,6,25,1,9500
57,17,117,7,26,2,13000
58,18,118,8,27,3,3600
59,19,119,9,28,4,7200
60,20,120,10,29,5,12500
61,1,101,1,30,1,65000
62,2,102,2,31,2,56000
63,3,103,3,1,3,135000
64,4,104,4,2,4,72000
65,5,105,5,3,5,110000
66,6,106,6,4,1,1800
67,7,107,7,5,2,1800
68,8,108,8,6,3,10500
69,9,109,9,7,4,22000
70,10,110,10,8,5,21000
71,11,111,1,9,1,15000
72,12,112,2,10,2,24000
73,13,113,3,11,3,144000
74,14,114,4,12,4,12800
75,15,115,5,13,5,62500
76,16,116,6,14,1,9500
77,17,117,7,15,2,13000
78,18,118,8,16,3,3600
79,19,119,9,17,4,7200
80,20,120,10,18,5,12500
81,1,101,1,19,1,65000
82,2,102,2,20,2,56000
83,3,103,3,21,3,135000
84,4,104,4,22,4,72000
85,5,105,5,23,5,110000
86,6,106,6,24,1,1800
87,7,107,7,25,2,1800
88,8,108,8,26,3,10500
89,9,109,9,27,4,22000
90,10,110,10,28,5,21000
91,11,111,1,29,1,15000
92,12,112,2,30,2,24000
93,13,113,3,31,3,144000
94,14,114,4,1,4,12800
95,15,115,5,2,5,62500
96,16,116,6,3,1,9500
97,17,117,7,4,2,13000
98,18,118,8,5,3,3600
99,19,119,9,6,4,7200
100,20,120,10,7,5,12500
