date_id,date,day,day_name,week_no,month,quarter,year,is_weekend
1,2026-07-01,1,Wednesday,27,July,Q3,2026,No
2,2026-07-02,2,Thursday,27,July,Q3,2026,No
3,2026-07-03,3,Friday,27,July,Q3,2026,No
4,2026-07-04,4,Saturday,27,July,Q3,2026,Yes
5,2026-07-05,5,Sunday,27,July,Q3,2026,Yes
6,2026-07-06,6,Monday,28,July,Q3,2026,No
7,2026-07-07,7,Tuesday,28,July,Q3,2026,No
8,2026-07-08,8,Wednesday,28,July,Q3,2026,No
9,2026-07-09,9,Thursday,28,July,Q3,2026,No
10,2026-07-10,10,Friday,28,July,Q3,2026,No
11,2026-07-11,11,Saturday,28,July,Q3,2026,Yes
12,2026-07-12,12,Sunday,28,July,Q3,2026,Yes
13,2026-07-13,13,Monday,29,July,Q3,2026,No
14,2026-07-14,14,Tuesday,29,July,Q3,2026,No
15,2026-07-15,15,Wednesday,29,July,Q3,2026,No
16,2026-07-16,16,Thursday,29,July,Q3,2026,No
17,2026-07-17,17,Friday,29,July,Q3,2026,No
18,2026-07-18,18,Saturday,29,July,Q3,2026,Yes
19,2026-07-19,19,Sunday,29,July,Q3,2026,Yes
20,2026-07-20,20,Monday,30,July,Q3,2026,No
21,2026-07-21,21,Tuesday,30,July,Q3,2026,No
22,2026-07-22,22,Wednesday,30,July,Q3,2026,No
23,2026-07-23,23,Thursday,30,July,Q3,2026,No
24,2026-07-24,24,Friday,30,July,Q3,2026,No
25,2026-07-25,25,Saturday,30,July,Q3,2026,Yes
26,2026-07-26,26,Sunday,30,July,Q3,2026,Yes
27,2026-07-27,27,Monday,31,July,Q3,2026,No
28,2026-07-28,28,Tuesday,31,July,Q3,2026,No
29,2026-07-29,29,Wednesday,31,July,Q3,2026,No
30,2026-07-30,30,Thursday,31,July,Q3,2026,No
31,2026-07-31,31,Friday,31,July,Q3,2026,No
